Feature,Importance
COH.A.delta.a.FP1.e.Fz,0.13115053710941765
COH.B.theta.m.T5.n.P3,0.09673013849746875
COH.A.delta.e.Fz.p.P4,0.07577589415569147
COH.F.gamma.c.F7.m.T5,0.06560461771484608
COH.A.delta.c.F7.h.T3,0.06516308914521417
COH.B.theta.k.C4.p.P4,0.06511340261029933
AB.C.alpha.r.O1,0.05487112003218011
COH.C.alpha.d.F3.m.T5,0.04899465173806219
COH.B.theta.c.F7.s.O2,0.04673336011938238
COH.B.theta.g.F8.q.T6,0.04583085427867001
COH.A.delta.d.F3.g.F8,0.0432759630704865
COH.B.theta.g.F8.j.Cz,0.03621203301030714
COH.D.beta.f.F4.q.T6,0.03590252845466349
COH.B.theta.h.T3.p.P4,0.02592960388392364
COH.C.alpha.l.T4.m.T5,0.024581284613639703
COH.B.theta.m.T5.q.T6,0.023331388785827384
COH.C.alpha.k.C4.q.T6,0.01823175273088381
COH.B.theta.i.C3.j.Cz,0.017679275375402485
COH.C.alpha.i.C3.p.P4,0.017016302548824892
COH.C.alpha.g.F8.n.P3,0.016669031068236632
COH.E.highbeta.j.Cz.m.T5,0.01296480194196182
COH.E.highbeta.k.C4.m.T5,0.01296480194196182
COH.F.gamma.d.F3.o.Pz,0.009723601456471366
COH.D.beta.h.T3.s.O2,0.009549965716177205
AB.A.delta.p.P4,0.0
AB.A.delta.q.T6,0.0
AB.A.delta.r.O1,0.0
AB.A.delta.s.O2,0.0
AB.B.theta.a.FP1,0.0
COH.F.gamma.h.T3.r.O1,0.0
AB.C.alpha.n.P3,0.0
COH.F.gamma.l.T4.p.P4,0.0
COH.F.gamma.k.C4.o.Pz,0.0
AB.B.theta.i.C3,0.0
COH.F.gamma.r.O1.s.O2,0.0
COH.F.gamma.k.C4.p.P4,0.0
COH.F.gamma.k.C4.q.T6,0.0
COH.F.gamma.k.C4.r.O1,0.0
COH.F.gamma.k.C4.s.O2,0.0
COH.F.gamma.l.T4.m.T5,0.0
COH.F.gamma.l.T4.n.P3,0.0
COH.F.gamma.l.T4.o.Pz,0.0
AB.A.delta.e.Fz,0.0
COH.F.gamma.l.T4.q.T6,0.0
COH.F.gamma.l.T4.r.O1,0.0
COH.F.gamma.l.T4.s.O2,0.0
COH.F.gamma.m.T5.n.P3,0.0
COH.F.gamma.m.T5.o.Pz,0.0
COH.F.gamma.m.T5.p.P4,0.0
COH.F.gamma.m.T5.q.T6,0.0
COH.F.gamma.m.T5.r.O1,0.0
COH.F.gamma.m.T5.s.O2,0.0
COH.F.gamma.n.P3.o.Pz,0.0
COH.F.gamma.n.P3.p.P4,0.0
COH.F.gamma.n.P3.q.T6,0.0
COH.F.gamma.n.P3.r.O1,0.0
COH.F.gamma.n.P3.s.O2,0.0
COH.F.gamma.o.Pz.p.P4,0.0
COH.F.gamma.o.Pz.q.T6,0.0
COH.F.gamma.o.Pz.r.O1,0.0
COH.F.gamma.o.Pz.s.O2,0.0
COH.F.gamma.p.P4.q.T6,0.0
COH.F.gamma.p.P4.r.O1,0.0
COH.F.gamma.p.P4.s.O2,0.0
COH.F.gamma.q.T6.r.O1,0.0
COH.F.gamma.q.T6.s.O2,0.0
AB.A.delta.b.FP2,0.0
AB.C.alpha.o.Pz,0.0
AB.C.alpha.p.P4,0.0
AB.C.alpha.q.T6,0.0
AB.C.alpha.s.O2,0.0
AB.D.beta.a.FP1,0.0
AB.D.beta.b.FP2,0.0
AB.D.beta.c.F7,0.0
AB.D.beta.d.F3,0.0
AB.D.beta.e.Fz,0.0
AB.D.beta.f.F4,0.0
AB.D.beta.g.F8,0.0
AB.D.beta.h.T3,0.0
AB.D.beta.i.C3,0.0
AB.D.beta.j.Cz,0.0
AB.D.beta.k.C4,0.0
AB.D.beta.l.T4,0.0
AB.D.beta.m.T5,0.0
AB.D.beta.n.P3,0.0
AB.D.beta.o.Pz,0.0
AB.D.beta.p.P4,0.0
AB.D.beta.q.T6,0.0
AB.D.beta.r.O1,0.0
AB.D.beta.s.O2,0.0
AB.E.highbeta.a.FP1,0.0
AB.E.highbeta.b.FP2,0.0
AB.E.highbeta.c.F7,0.0
AB.E.highbeta.d.F3,0.0
AB.E.highbeta.e.Fz,0.0
AB.E.highbeta.f.F4,0.0
AB.E.highbeta.g.F8,0.0
AB.E.highbeta.h.T3,0.0
AB.E.highbeta.i.C3,0.0
AB.E.highbeta.j.Cz,0.0
AB.E.highbeta.k.C4,0.0
AB.E.highbeta.l.T4,0.0
AB.E.highbeta.m.T5,0.0
AB.E.highbeta.n.P3,0.0
AB.E.highbeta.o.Pz,0.0
AB.E.highbeta.p.P4,0.0
AB.E.highbeta.q.T6,0.0
AB.E.highbeta.r.O1,0.0
AB.E.highbeta.s.O2,0.0
AB.F.gamma.a.FP1,0.0
AB.F.gamma.b.FP2,0.0
AB.F.gamma.c.F7,0.0
AB.F.gamma.d.F3,0.0
AB.F.gamma.e.Fz,0.0
AB.F.gamma.f.F4,0.0
AB.F.gamma.g.F8,0.0
AB.F.gamma.h.T3,0.0
AB.F.gamma.i.C3,0.0
AB.F.gamma.j.Cz,0.0
AB.F.gamma.k.C4,0.0
AB.F.gamma.l.T4,0.0
AB.F.gamma.m.T5,0.0
AB.F.gamma.n.P3,0.0
AB.F.gamma.o.Pz,0.0
AB.F.gamma.p.P4,0.0
AB.F.gamma.q.T6,0.0
AB.F.gamma.r.O1,0.0
AB.F.gamma.s.O2,0.0
COH.A.delta.a.FP1.b.FP2,0.0
COH.A.delta.a.FP1.c.F7,0.0
COH.A.delta.a.FP1.d.F3,0.0
COH.A.delta.a.FP1.f.F4,0.0
COH.A.delta.a.FP1.g.F8,0.0
COH.A.delta.a.FP1.h.T3,0.0
COH.A.delta.a.FP1.i.C3,0.0
COH.A.delta.a.FP1.j.Cz,0.0
COH.A.delta.a.FP1.k.C4,0.0
COH.A.delta.a.FP1.l.T4,0.0
COH.A.delta.a.FP1.m.T5,0.0
COH.A.delta.a.FP1.n.P3,0.0
COH.A.delta.a.FP1.o.Pz,0.0
COH.A.delta.a.FP1.p.P4,0.0
COH.A.delta.a.FP1.q.T6,0.0
COH.A.delta.a.FP1.r.O1,0.0
